id,name,maker,variant,type,thcPct,cbdPct
together-pharma-power-plant-20-1-flower,Power Plant,Together Pharma,,flower,20,1
curaleaf-la-kush-cake-24-1-flower,LA Kush Cake,Curaleaf,,flower,24,1
aurora-pedanios-pink-kush-20-1-flower,Pink Kush,Aurora Pedanios,,flower,20,1
medcan-sc01-strawberry-og-22-1-flower,Strawberry OG,Medcan,,flower,22,1
together-pharma-critical-mass-20-1-flower,Critical Mass,Together Pharma,,flower,20,1
four20-pharma-wedding-sunset-27-1-flower,Wedding Sunset,Four20 Pharma,,flower,27,1
glass-pharms-gorilla-glue-26-1-flower,Gorilla Glue,Glass Pharms,,flower,26,1
aurora-pedanios-delahaze-22-1-flower,Delahaze,Aurora Pedanios,,flower,22,1
medcan-ultra-sour-25-1-flower,Ultra Sour,Medcan,,flower,25,1
four20-pharma-ice-cream-cake-27-1-flower,Ice Cream Cake,Four20 Pharma,,flower,27,1
tilray-master-kush-25-1-flower,Master Kush,Tilray,,flower,25,1
grow-pharma-zkittlez-23-1-flower,Zkittlez,Grow Pharma,,flower,23,1
dalgety-strawberry-ice-26-1-flower,Strawberry Ice,Dalgety,,flower,26,1
aurora-pedanios-sourdough-29-1-flower,Sourdough,Aurora Pedanios,,flower,29,1
medcan-wappa-20-1-flower,Wappa,Medcan,,flower,20,1
four20-pharma-mac-1-27-1-flower,MAC-1,Four20 Pharma,,flower,27,1
tilray-gorilla-zkittlez-25-1-flower,Gorilla Zkittlez,Tilray,,flower,25,1
grow-pharma-og-kush-24-1-flower,OG Kush,Grow Pharma,,flower,24,1
glass-pharms-purple-punch-26-1-flower,Purple Punch,Glass Pharms,,flower,26,1
aurora-pedanios-sun-farms-pink-kush-22-1-flower,Pink Kush,Aurora Sun Farms,,flower,22,1
medcan-royal-moby-20-1-flower,Royal Moby,Medcan,,flower,20,1
four20-pharma-white-widow-22-1-flower,White Widow,Four20 Pharma,,flower,22,1
tilray-rockstar-25-1-flower,Rockstar,Tilray,,flower,25,1
grow-pharma-blue-dream-24-1-flower,Blue Dream,Grow Pharma,,flower,24,1
dalgety-lemon-haze-26-1-flower,Lemon Haze,Dalgety,,flower,26,1
aurora-pedanios-durban-poison-22-1-flower,Durban Poison,Aurora Pedanios,,flower,22,1
medcan-gg4-24-1-flower,Gorilla Glue #4,Medcan,,flower,24,1
four20-pharma-northern-lights-22-1-flower,Northern Lights,Four20 Pharma,,flower,22,1
tilray-pineapple-express-25-1-flower,Pineapple Express,Tilray,,flower,25,1
grow-pharma-white-rhino-23-1-flower,White Rhino,Grow Pharma,,flower,23,1
dalgety-amnesia-haze-27-1-flower,Amnesia Haze,Dalgety,,flower,27,1
aurora-pedanios-electric-honeydew-29-1-flower,Electric Honeydew,Aurora Pedanios,,flower,29,1
medcan-cold-creek-kush-25-1-flower,Cold Creek Kush,Medcan,,flower,25,1
four20-pharma-gelato-33-1-flower,Gelato 33,Four20 Pharma,,flower,33,1
tilray-skunk-1-20-1-flower,Skunk #1,Tilray,,flower,20,1
grow-pharma-bubba-kush-24-1-flower,Bubba Kush,Grow Pharma,,flower,24,1
dalgety-critical-kush-28-1-flower,Critical Kush,Dalgety,,flower,28,1
aurora-pedanios-sourdough-smalls-27-1-flower,Sourdough,Aurora Pedanios,smalls,flower,27,1
medcan-glueberry-og-23-1-flower,Glueberry OG,Medcan,,flower,23,1
four20-pharma-lemon-skunk-24-1-flower,Lemon Skunk,Four20 Pharma,,flower,24,1
tilray-og-kush-25-1-flower,OG Kush,Tilray,,flower,25,1
grow-pharma-sunset-sherbet-26-1-flower,Sunset Sherbet,Grow Pharma,,flower,26,1
dalgety-pineapple-chunk-24-1-flower,Pineapple Chunk,Dalgety,,flower,24,1
aurora-pedanios-farm-gas-27-1-flower,Farm Gas,Aurora Pedanios,,flower,27,1
medcan-sherbet-glue-24-1-flower,Sherbet Glue,Medcan,,flower,24,1
four20-pharma-strawberry-og-26-1-flower,Strawberry OG,Four20 Pharma,,flower,26,1
tilray-afghan-kush-24-1-flower,Afghan Kush,Tilray,,flower,24,1
grow-pharma-mimosa-26-1-flower,Mimosa,Grow Pharma,,flower,26,1
dalgety-sour-strawberry-28-1-flower,Sour Strawberry,Dalgety,,flower,28,1
aurora-pedanios-chemango-kush-27-1-flower,Chemango Kush,Aurora Pedanios,,flower,27,1
medcan-l.a-confidential-24-1-flower,LA Confidential,Medcan,,flower,24,1
four20-pharma-blueberry-22-1-flower,Blueberry,Four20 Pharma,,flower,22,1
tilray-critical-haze-23-1-flower,Critical Haze,Tilray,,flower,23,1
grow-pharma-pineapple-express-24-1-flower,Pineapple Express,Grow Pharma,,flower,24,1
dalgety-gelato-31-1-flower,Gelato,Dalgety,,flower,31,1
aurora-pedanios-chem-dawg-26-1-flower,Chem Dawg,Aurora Pedanios,,flower,26,1
medcan-lemon-sour-diesel-25-1-flower,Lemon Sour Diesel,Medcan,,flower,25,1
four20-pharma-gmo-cookies-30-1-flower,GMO Cookies,Four20 Pharma,,flower,30,1
tilray-jack-herer-24-1-flower,Jack Herer,Tilray,,flower,24,1
grow-pharma-wedding-cake-26-1-flower,Wedding Cake,Grow Pharma,,flower,26,1
dalgety-og-cheese-28-1-flower,OG Cheese,Dalgety,,flower,28,1
aurora-pedanios-sugarbud-mule-fuel-27-1-flower,Mule Fuel,Aurora Pedanios,,flower,27,1
medcan-space-cake-24-1-flower,Space Cake,Medcan,,flower,24,1
four20-pharma-sunset-sherbet-27-1-flower,Sunset Sherbet,Four20 Pharma,,flower,27,1
tilray-chemdawg-25-1-flower,Chemdawg,Tilray,,flower,25,1
grow-pharma-purple-punch-26-1-flower,Purple Punch,Grow Pharma,,flower,26,1
dalgety-lemon-skunk-25-1-flower,Lemon Skunk,Dalgety,,flower,25,1
aurora-pedanios-sugarbud-gmo-cookies-30-1-flower,GMO Cookies,Aurora Pedanios,,flower,30,1
medcan-glueberry-og-smalls-22-1-flower,Glueberry OG,Medcan,smalls,flower,22,1
four20-pharma-og-kush-25-1-flower,OG Kush,Four20 Pharma,,flower,25,1
tilray-white-widow-22-1-flower,White Widow,Tilray,,flower,22,1
grow-pharma-lemon-haze-24-1-flower,Lemon Haze,Grow Pharma,,flower,24,1
dalgety-purple-kush-27-1-flower,Purple Kush,Dalgety,,flower,27,1
aurora-pedanios-sugarbud-gmo-cookies-smalls-28-1-flower,GMO Cookies,Aurora Pedanios,smalls,flower,28,1
medcan-ghost-train-haze-22-1-flower,Ghost Train Haze,Medcan,,flower,22,1
four20-pharma-wappa-20-1-flower,Wappa,Four20 Pharma,,flower,20,1
tilray-strawberry-glue-25-1-flower,Strawberry Glue,Tilray,,flower,25,1
grow-pharma-amnesia-haze-26-1-flower,Amnesia Haze,Grow Pharma,,flower,26,1
dalgety-gorilla-glue-28-1-flower,Gorilla Glue,Dalgety,,flower,28,1
